date,close_daily
2024-08-19 15:00:00,0.739
2024-08-20 15:00:00,0.728
2024-08-21 15:00:00,0.726
2024-08-22 15:00:00,0.719
2024-08-23 15:00:00,0.72
2024-08-26 15:00:00,0.715
2024-08-27 15:00:00,0.708
2024-08-28 15:00:00,0.704
2024-08-29 15:00:00,0.713
2024-08-30 15:00:00,0.728
2024-09-02 15:00:00,0.703
2024-09-03 15:00:00,0.708
2024-09-04 15:00:00,0.705
2024-09-05 15:00:00,0.705
2024-09-06 15:00:00,0.696
2024-09-09 15:00:00,0.687
2024-09-10 15:00:00,0.692
2024-09-11 15:00:00,0.695
2024-09-12 15:00:00,0.69
2024-09-13 15:00:00,0.683
2024-09-18 15:00:00,0.678
2024-09-19 15:00:00,0.683
2024-09-20 15:00:00,0.678
2024-09-23 15:00:00,0.674
2024-09-24 15:00:00,0.699
2024-09-25 15:00:00,0.7
2024-09-26 15:00:00,0.728
2024-09-27 15:00:00,0.792
2024-09-30 15:00:00,0.95
2024-10-08 15:00:00,1.14
2024-10-09 15:00:00,1.096
2024-10-10 15:00:00,1.026
2024-10-11 15:00:00,0.951
2024-10-14 15:00:00,0.974
2024-10-15 15:00:00,0.946
2024-10-16 15:00:00,0.923
2024-10-17 15:00:00,0.926
2024-10-18 15:00:00,1.041
2024-10-21 15:00:00,1.05
2024-10-22 15:00:00,1.037
2024-10-23 15:00:00,1.032
2024-10-24 15:00:00,1.029
2024-10-25 15:00:00,1.045
2024-10-28 15:00:00,1.039
2024-10-29 15:00:00,1.028
2024-10-30 15:00:00,1.008
2024-10-31 15:00:00,1.02
2024-11-01 15:00:00,0.99
2024-11-04 15:00:00,1.004
2024-11-05 15:00:00,1.05
2024-11-06 15:00:00,1.053
2024-11-07 15:00:00,1.087
2024-11-08 15:00:00,1.081
2024-11-11 15:00:00,1.13
2024-11-12 15:00:00,1.105
2024-11-13 15:00:00,1.116
2024-11-14 15:00:00,1.08
2024-11-15 15:00:00,1.04
2024-11-18 15:00:00,1.02
2024-11-19 15:00:00,1.052
2024-11-20 15:00:00,1.055
2024-11-21 15:00:00,1.064
2024-11-22 15:00:00,1.022
2024-11-25 15:00:00,1.008
2024-11-26 15:00:00,1.002
2024-11-27 15:00:00,1.038
2024-11-28 15:00:00,1.034
2024-11-29 15:00:00,1.06
2024-12-02 15:00:00,1.068
2024-12-03 15:00:00,1.057
2024-12-04 15:00:00,1.05
2024-12-05 15:00:00,1.053
2024-12-06 15:00:00,1.067
2024-12-09 15:00:00,1.054
2024-12-10 15:00:00,1.063
2024-12-11 15:00:00,1.059
2024-12-12 15:00:00,1.063
2024-12-13 15:00:00,1.042
2024-12-16 15:00:00,1.025
2024-12-17 15:00:00,1.019
2024-12-18 15:00:00,1.033
2024-12-19 15:00:00,1.045
2024-12-20 15:00:00,1.065
2024-12-23 15:00:00,1.052
2024-12-24 15:00:00,1.069
2024-12-25 15:00:00,1.072
2024-12-26 15:00:00,1.081
2024-12-27 15:00:00,1.074
2024-12-30 15:00:00,1.077
2024-12-31 15:00:00,1.045
2025-01-02 15:00:00,1.009
2025-01-03 15:00:00,0.993
2025-01-06 15:00:00,0.989
2025-01-07 15:00:00,1.018
2025-01-08 15:00:00,1.017
2025-01-09 15:00:00,1.015
2025-01-10 15:00:00,1.005
2025-01-13 15:00:00,1.005
2025-01-14 15:00:00,1.037
2025-01-15 15:00:00,1.032
2025-01-16 15:00:00,1.011
2025-01-17 15:00:00,1.02
2025-01-20 15:00:00,1.022
2025-01-21 15:00:00,1.031
2025-01-22 15:00:00,1.029
2025-01-23 15:00:00,1.021
2025-01-24 15:00:00,1.029
2025-01-27 15:00:00,1.009
2025-02-05 15:00:00,1.037
2025-02-06 15:00:00,1.067
2025-02-07 15:00:00,1.076
2025-02-10 15:00:00,1.094
2025-02-11 15:00:00,1.08
2025-02-12 15:00:00,1.099
2025-02-13 15:00:00,1.073
2025-02-14 15:00:00,1.078
2025-02-17 15:00:00,1.093
2025-02-18 15:00:00,1.066
2025-02-19 15:00:00,1.092
2025-02-20 15:00:00,1.091
2025-02-21 15:00:00,1.157
2025-02-24 15:00:00,1.161
2025-02-25 15:00:00,1.162
2025-02-26 15:00:00,1.186
2025-02-27 15:00:00,1.185
2025-02-28 15:00:00,1.133
2025-03-03 15:00:00,1.119
2025-03-04 15:00:00,1.139
2025-03-05 15:00:00,1.142
